,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
413,tt0000417,short,A Trip to the Moon,Le voyage dans la lune,0,1902,\N,13,"Adventure,Comedy,Fantasy"
435,tt0000439,short,The Great Train Robbery,The Great Train Robbery,0,1903,\N,11,"Action,Adventure,Crime"
512,tt0000516,short,The Electric Hotel,El hotel eléctrico,0,1908,\N,8,"Animation,Fantasy,Sci-Fi"
4911,tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,\N,195,"Drama,War"
6256,tt0006333,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,\N,105,"Action,Adventure,Sci-Fi"
6778,tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,\N,163,"Drama,History"
7170,tt0007264,short,The Rink,The Rink,0,1916,\N,30,"Comedy,Short"
7265,tt0007361,movie,Snow White,Snow White,0,1916,\N,63,"Fantasy,Romance"
8022,tt0008133,short,The Immigrant,The Immigrant,0,1917,\N,30,"Comedy,Drama,Romance"
9900,tt0010040,movie,Daddy-Long-Legs,Daddy-Long-Legs,0,1919,\N,85,"Comedy,Drama"
10182,tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,67,"Horror,Mystery,Thriller"
11376,tt0011541,short,One Week,One Week,0,1920,\N,25,"Comedy,Short"
12170,tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family"
13241,tt0013442,movie,Nosferatu: A Symphony of Horror,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"Fantasy,Horror"
13925,tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1923,\N,133,"Drama,Horror,Romance"
14114,tt0014341,movie,Our Hospitality,Our Hospitality,0,1923,\N,65,"Comedy,Romance,Thriller"
14200,tt0014429,movie,Safety Last!,Safety Last!,0,1923,\N,74,"Action,Comedy,Thriller"
14388,tt0014624,movie,A Woman of Paris: A Drama of Fate,A Woman of Paris: A Drama of Fate,0,1923,\N,82,"Drama,Romance"
14410,tt0014646,movie,"Aelita, the Queen of Mars",Aelita,0,1924,\N,111,"Adventure,Comedy,Drama"
14922,tt0015163,movie,The Navigator,The Navigator,0,1924,\N,59,"Action,Adventure,Comedy"
15082,tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,\N,45,"Action,Comedy,Romance"
15158,tt0015400,movie,The Thief of Bagdad,The Thief of Bagdad,0,1924,\N,155,"Adventure,Family,Fantasy"
15405,tt0015648,movie,Battleship Potemkin,Bronenosets Potyomkin,0,1925,\N,66,"Drama,History,Thriller"
15596,tt0015841,movie,The Freshman,The Freshman,0,1925,\N,77,"Comedy,Family,Romance"
15619,tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,\N,95,"Adventure,Comedy,Drama"
15636,tt0015881,movie,Greed,Greed,0,1924,\N,140,"Drama,Thriller,Western"
16384,tt0016641,movie,Ben-Hur: A Tale of the Christ,Ben-Hur A Tale of the Christ,0,1925,\N,143,"Action,Adventure,Drama"
16590,tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,0,1926,\N,107,"Drama,Fantasy,Horror"
16657,tt0016914,movie,Secrets of a Soul,Geheimnisse einer Seele,0,1926,\N,97,Drama
16818,tt0017075,movie,The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,0,1927,\N,92,"Crime,Drama,Mystery"
16879,tt0017136,movie,Metropolis,Metropolis,0,1927,\N,153,"Drama,Sci-Fi"
17011,tt0017271,movie,By the Law,Po zakonu,0,1926,\N,80,"Action,Drama,Mystery"
17155,tt0017416,movie,The Son of the Sheik,The Son of the Sheik,0,1926,\N,68,"Adventure,Drama,Romance"
17476,tt0017739,movie,The Cat and the Canary,The Cat and the Canary,0,1927,\N,108,"Comedy,Horror,Mystery"
17502,tt0017765,movie,College,College,0,1927,\N,66,"Comedy,Drama,Sport"
17661,tt0017925,movie,The General,The General,0,1926,\N,78,"Action,Adventure,Comedy"
17770,tt0018037,movie,The Jazz Singer,The Jazz Singer,0,1927,\N,88,"Drama,Music,Musical"
18056,tt0018328,movie,The Ring,The Ring,0,1927,\N,89,"Drama,Romance,Sport"
18181,tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,0,1927,\N,94,"Drama,Romance"
18495,tt0018773,movie,The Circus,The Circus,0,1928,\N,72,"Comedy,Family,Romance"
18966,tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,\N,114,"Biography,Drama,History"
19131,tt0019421,movie,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",0,1928,\N,70,"Action,Comedy,Drama"
19132,tt0019422,short,Steamboat Willie,Steamboat Willie,0,1928,\N,8,"Animation,Comedy,Family"
19434,tt0019729,movie,The Broadway Melody,The Broadway Melody,0,1929,\N,100,"Drama,Musical,Romance"
19465,tt0019760,movie,Man with a Movie Camera,Chelovek s kino-apparatom,0,1929,\N,68,Documentary
19482,tt0019777,movie,The Cocoanuts,The Cocoanuts,0,1929,\N,96,"Comedy,Musical,Romance"
20211,tt0020530,short,Un chien andalou,Un chien andalou,0,1929,\N,16,"Fantasy,Horror,Short"
20309,tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,\N,152,"Drama,War"
20320,tt0020640,movie,Animal Crackers,Animal Crackers,0,1930,\N,97,"Comedy,Family,Musical"
20321,tt0020641,movie,Anna Christie,Anna Christie,0,1930,\N,89,"Drama,Romance"
20377,tt0020697,movie,The Blue Angel,Der blaue Engel,0,1930,\N,104,"Drama,Music,Romance"
20505,tt0020827,movie,The Divorcee,The Divorcee,0,1930,\N,84,"Drama,Romance"
20747,tt0021079,movie,Little Caesar,Little Caesar,0,1931,\N,79,"Action,Crime,Drama"
21395,tt0021746,movie,Cimarron,Cimarron,0,1931,\N,123,"Drama,Western"
21398,tt0021749,movie,City Lights,City Lights,0,1931,\N,87,"Comedy,Drama,Romance"
21461,tt0021814,movie,Dracula,Dracula,0,1931,\N,75,"Drama,Fantasy,Horror"
21529,tt0021884,movie,Frankenstein,Frankenstein,0,1931,\N,70,"Drama,Horror,Sci-Fi"
21535,tt0021890,movie,The Front Page,The Front Page,0,1931,\N,101,"Comedy,Crime,Drama"
21554,tt0021910,movie,Girls About Town,Girls About Town,0,1931,\N,80,"Comedy,Romance"
21643,tt0022002,movie,The Iron Man,Iron Man,0,1931,\N,73,"Drama,Romance"
21739,tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,\N,99,"Crime,Mystery,Thriller"
21748,tt0022111,movie,The Maltese Falcon,The Maltese Falcon,0,1931,\N,80,"Crime,Drama,Film-Noir"
21820,tt0022183,movie,Mädchen in Uniform,Mädchen in Uniform,0,1931,\N,87,"Drama,Romance"
21920,tt0022286,movie,The Public Enemy,The Public Enemy,0,1931,\N,83,"Crime,Drama"
22223,tt0022599,movie,Freedom for Us,À nous la liberté,0,1931,\N,83,"Comedy,Musical"
22337,tt0022718,movie,Boudu Saved from Drowning,Boudu sauvé des eaux,0,1932,\N,85,Comedy
22452,tt0022835,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1931,\N,98,"Horror,Sci-Fi"
22493,tt0022879,movie,A Farewell to Arms,A Farewell to Arms,0,1932,\N,80,"Drama,Romance,War"
22527,tt0022913,movie,Freaks,Freaks,0,1932,\N,64,"Drama,Horror"
22570,tt0022958,movie,Grand Hotel,Grand Hotel,0,1932,\N,112,"Drama,Romance"
22637,tt0023027,movie,Horse Feathers,Horse Feathers,0,1932,\N,68,"Comedy,Family,Musical"
22652,tt0023042,movie,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,0,1932,\N,92,"Crime,Drama,Film-Noir"
22849,tt0023245,movie,The Mummy,The Mummy,0,1932,\N,73,"Fantasy,Horror"
23027,tt0023427,movie,Scarface,Scarface,0,1932,\N,93,"Action,Crime,Drama"
23156,tt0023563,movie,The Testament of Dr. Mabuse,Das Testament des Dr. Mabuse,0,1933,\N,122,"Crime,Mystery,Thriller"
23213,tt0023622,movie,Trouble in Paradise,Trouble in Paradise,0,1932,\N,83,"Comedy,Crime,Romance"
23337,tt0023753,movie,Alice in Wonderland,Alice in Wonderland,0,1933,\N,76,"Adventure,Family,Fantasy"
23532,tt0023948,movie,Dinner at Eight,Dinner at Eight,0,1933,\N,111,Drama
23552,tt0023969,movie,Duck Soup,Duck Soup,0,1933,\N,69,"Comedy,Musical"
23608,tt0024025,movie,Flying Down to Rio,Flying Down to Rio,0,1933,\N,89,"Comedy,Musical,Romance"
23617,tt0024034,movie,42nd Street,42nd Street,0,1933,\N,89,"Comedy,Drama,Musical"
23651,tt0024069,movie,Gold Diggers of 1933,Gold Diggers of 1933,0,1933,\N,97,"Comedy,Drama,Musical"
23765,tt0024184,movie,The Invisible Man,The Invisible Man,0,1933,\N,71,"Horror,Sci-Fi"
23797,tt0024216,movie,King Kong,King Kong,0,1933,\N,100,"Adventure,Horror"
23843,tt0024264,movie,Little Women,Little Women,0,1933,\N,115,"Drama,Family,Romance"
24174,tt0024601,movie,Sons of the Desert,Sons of the Desert,0,1933,\N,68,"Comedy,Family"
24369,tt0024803,movie,Zero for Conduct,Zéro de conduite,0,1933,\N,47,Drama
24408,tt0024844,movie,L'Atalante,L'Atalante,0,1934,\N,89,"Comedy,Drama,Romance"
24416,tt0024852,movie,March of the Wooden Soldiers,Babes in Toyland,0,1934,\N,77,"Comedy,Family,Fantasy"
24530,tt0024966,movie,Chapayev,Chapaev,0,1934,\N,93,"Biography,Drama,History"
24728,tt0025164,movie,The Gay Divorcee,The Gay Divorcee,0,1934,\N,107,"Comedy,Musical,Romance"
24877,tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,\N,105,"Comedy,Romance"
25004,tt0025452,movie,The Man Who Knew Too Much,The Man Who Knew Too Much,0,1934,\N,75,"Crime,Mystery,Thriller"
25008,tt0025456,movie,Man of Aran,Man of Aran,0,1934,\N,76,"Documentary,Drama"
25136,tt0025586,movie,Of Human Bondage,Of Human Bondage,0,1934,\N,83,"Drama,Film-Noir,Romance"
25421,tt0025878,movie,The Thin Man,The Thin Man,0,1934,\N,91,"Comedy,Crime,Mystery"
25456,tt0025913,movie,Triumph of the Will,Triumph des Willens,0,1935,\N,110,"Documentary,History"
25462,tt0025919,movie,Twentieth Century,Twentieth Century,0,1934,\N,91,"Comedy,Romance"
25569,tt0026029,movie,The 39 Steps,The 39 Steps,0,1935,\N,86,"Crime,Mystery,Thriller"
25596,tt0026056,movie,Alice Adams,Alice Adams,0,1935,\N,99,"Comedy,Drama,Romance"
25611,tt0026071,movie,Anna Karenina,Anna Karenina,0,1935,\N,95,"Drama,Romance"
25678,tt0026138,movie,Bride of Frankenstein,The Bride of Frankenstein,0,1935,\N,75,"Drama,Horror,Sci-Fi"
25712,tt0026174,movie,Captain Blood,Captain Blood,0,1935,\N,119,"Action,Adventure,History"
25955,tt0026421,movie,Gold Diggers of 1935,Gold Diggers of 1935,0,1935,\N,95,"Comedy,Musical,Romance"
26199,tt0026676,movie,Man on the Flying Trapeze,Man on the Flying Trapeze,0,1935,\N,66,"Comedy,Crime,Mystery"
26237,tt0026714,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,0,1935,\N,133,"Comedy,Fantasy,Romance"
26275,tt0026752,movie,Mutiny on the Bounty,Mutiny on the Bounty,0,1935,\N,132,"Adventure,Biography,Drama"
26301,tt0026778,movie,A Night at the Opera,A Night at the Opera,0,1935,\N,96,"Comedy,Music,Musical"
26461,tt0026942,movie,Roberta,Roberta,0,1935,\N,106,"Comedy,Musical,Romance"
26592,tt0027075,movie,A Tale of Two Cities,A Tale of Two Cities,0,1935,\N,128,"Drama,History,Romance"
26639,tt0027125,movie,Top Hat,Top Hat,0,1935,\N,101,"Comedy,Musical,Romance"
26771,tt0027260,movie,After the Thin Man,After the Thin Man,0,1936,\N,112,"Comedy,Crime,Mystery"
26810,tt0027300,movie,Anthony Adverse,Anthony Adverse,0,1936,\N,141,"Adventure,Drama,Romance"
27138,tt0027630,movie,Follow the Fleet,Follow the Fleet,0,1936,\N,110,"Comedy,Musical,Romance"
27160,tt0027652,movie,Fury,Fury,0,1936,\N,92,"Crime,Drama,Film-Noir"
27172,tt0027664,movie,The General Died at Dawn,The General Died at Dawn,0,1936,\N,98,"Action,Drama,War"
27206,tt0027698,movie,The Great Ziegfeld,The Great Ziegfeld,0,1936,\N,176,"Drama,Musical"
27385,tt0027884,movie,Libeled Lady,Libeled Lady,0,1936,\N,98,"Comedy,Romance"
27394,tt0027893,movie,Little Lord Fauntleroy,Little Lord Fauntleroy,0,1936,\N,102,"Drama,Family"
27448,tt0027948,movie,Mary of Scotland,Mary of Scotland,0,1936,\N,123,"Biography,Drama,History"
27477,tt0027977,movie,Modern Times,Modern Times,0,1936,\N,87,"Comedy,Drama,Romance"
27496,tt0027996,movie,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,0,1936,\N,115,"Comedy,Drama,Romance"
27510,tt0028010,movie,My Man Godfrey,My Man Godfrey,0,1936,\N,94,"Comedy,Drama,Romance"
27706,tt0028212,movie,Sabotage,Sabotage,0,1936,\N,76,"Crime,Thriller"
27710,tt0028216,movie,San Francisco,San Francisco,0,1936,\N,115,"Drama,Music,Romance"
27725,tt0028231,movie,Secret Agent,Secret Agent,0,1936,\N,86,"Mystery,Thriller"
27827,tt0028333,movie,Swing Time,Swing Time,0,1936,\N,103,"Comedy,Musical,Romance"
27839,tt0028346,movie,Reefer Madness,Tell Your Children,0,1936,\N,66,"Comedy,Crime,Drama"
28001,tt0028510,movie,Winds of the Wasteland,Winds of the Wasteland,0,1936,\N,55,"Drama,Western"
28086,tt0028597,movie,The Awful Truth,The Awful Truth,0,1937,\N,90,"Comedy,Romance"
28169,tt0028683,movie,Camille,Camille,0,1936,\N,109,"Drama,Romance"
28177,tt0028691,movie,Captains Courageous,Captains Courageous,0,1937,\N,117,"Adventure,Drama,Family"
28258,tt0028772,movie,A Day at the Races,A Day at the Races,0,1937,\N,111,"Comedy,Family,Musical"
28430,tt0028944,movie,The Good Earth,The Good Earth,0,1937,\N,138,"Drama,Romance"
28436,tt0028950,movie,The Grand Illusion,La grande illusion,0,1937,\N,113,"Drama,War"
28472,tt0028988,movie,Heidi,Heidi,0,1937,\N,88,"Drama,Family,Musical"
28564,tt0029081,movie,King Solomon's Mines,King Solomon's Mines,0,1937,\N,77,"Action,Adventure,Family"
28629,tt0029146,movie,The Life of Emile Zola,The Life of Emile Zola,0,1937,\N,116,"Biography,Drama"
28645,tt0029162,movie,Lost Horizon,Lost Horizon,0,1937,\N,132,"Adventure,Drama,Fantasy"
28674,tt0029192,movie,Make Way for Tomorrow,Make Way for Tomorrow,0,1937,\N,91,"Drama,Romance"
28766,tt0029284,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance"
28934,tt0029453,movie,Pépé le Moko,Pépé le Moko,0,1937,\N,94,"Crime,Drama,Romance"
29027,tt0029546,movie,Shall We Dance,Shall We Dance,0,1937,\N,109,"Comedy,Musical,Romance"
29063,tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,"Adventure,Animation,Family"
29082,tt0029604,movie,Stage Door,Stage Door,0,1937,\N,92,"Comedy,Drama,Romance"
29084,tt0029606,movie,A Star Is Born,A Star Is Born,0,1937,\N,111,"Drama,Romance"
29280,tt0029808,movie,You Only Live Once,You Only Live Once,0,1937,\N,86,"Crime,Drama,Film-Noir"
29315,tt0029843,movie,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1938,\N,102,"Action,Adventure,Romance"
29322,tt0029850,movie,Alexander Nevsky,Aleksandr Nevskiy,0,1938,\N,112,"Action,Biography,Drama"
29342,tt0029870,movie,Angels with Dirty Faces,Angels with Dirty Faces,0,1938,\N,97,"Crime,Drama,Film-Noir"
29412,tt0029942,movie,Boys Town,Boys Town,0,1938,\N,96,"Biography,Drama,Family"
29417,tt0029947,movie,Bringing Up Baby,Bringing Up Baby,0,1938,\N,102,Comedy
29462,tt0029992,movie,A Christmas Carol,A Christmas Carol,0,1938,\N,69,"Drama,Family,Fantasy"
29706,tt0030241,movie,Holiday,Holiday,0,1938,\N,95,"Comedy,Romance"
29752,tt0030287,movie,Jezebel,Jezebel,0,1938,\N,104,"Drama,Romance"
29803,tt0030341,movie,The Lady Vanishes,The Lady Vanishes,0,1938,\N,96,"Mystery,Thriller"
30059,tt0030604,short,Porky in Wackyland,Porky in Wackyland,0,1938,\N,7,"Animation,Comedy,Family"
30063,tt0030608,short,Porky's Hare Hunt,Porky's Hare Hunt,0,1938,\N,8,"Animation,Comedy,Family"
30092,tt0030637,movie,Pygmalion,Pygmalion,0,1938,\N,89,"Comedy,Drama,Romance"
30393,tt0030947,movie,Volga - Volga,Volga - Volga,0,1938,\N,108,"Comedy,Musical"
30439,tt0030993,movie,You Can't Take It with You,You Can't Take It with You,0,1938,\N,126,"Comedy,Drama,Romance"
30491,tt0031047,movie,Another Thin Man,Another Thin Man,0,1939,\N,103,"Comedy,Crime,Mystery"
30503,tt0031060,movie,At the Circus,At the Circus,0,1939,\N,87,"Comedy,Musical"
